target_id,repo,fqcn,variant,population_status,measurement_status,test_count,kept_count,manual_line_covered,combined_line_covered,incremental_line_covered,line_total,incremental_line_percentage,manual_branch_covered,combined_branch_covered,incremental_branch_covered,branch_total,incremental_branch_percentage,target_class_id,manual_exec,final_exec,target_classfile,detail
T01_DruidDataSource,alibaba/druid,com.alibaba.druid.pool.DruidDataSource,ES,verified,verified_source_file_aggregate,73,51,20,491,471,2128,22.133458646616543,5,108,103,1152,8.940972222222221,source-file:a9fb2d8838099220,pipeline-output/runs/T01_DruidDataSource/covfilter/auto/20260825-2330-rq1-sourcefile-final4/baseline_manual.exec,pipeline-output/runs/T01_DruidDataSource/covfilter/auto/20260825-2330-rq1-sourcefile-final4/final_manual_plus_kept.exec,pipeline-output/aggregate/rq1-native-baselines/T01_DruidDataSource/cut-classfiles,Validated Java source-file aggregate: outer CUT plus nested classes compiled from the same source file.
T01_DruidDataSource,alibaba/druid,com.alibaba.druid.pool.DruidDataSource,LLM,verified,verified_source_file_aggregate,56,55,20,488,468,2128,21.992481203007518,5,108,103,1152,8.940972222222221,source-file:a9fb2d8838099220,pipeline-output/runs/T01_DruidDataSource/covfilter/adopted/20260828-1200-assertion-insensitive-lineage/baseline_manual.exec,pipeline-output/runs/T01_DruidDataSource/covfilter/adopted/20260828-1200-assertion-insensitive-lineage/final_manual_plus_kept.exec,pipeline-output/aggregate/rq1-native-baselines/T01_DruidDataSource/cut-classfiles,Validated Java source-file aggregate: outer CUT plus nested classes compiled from the same source file.
T01_DruidDataSource,alibaba/druid,com.alibaba.druid.pool.DruidDataSource,Agentic,verified,verified_source_file_aggregate,56,56,20,505,485,2128,22.791353383458645,5,120,115,1152,9.98263888888889,source-file:a9fb2d8838099220,pipeline-output/runs/T01_DruidDataSource/covfilter/agentic/20260828-1600-adapted-only-candidates/baseline_manual.exec,pipeline-output/runs/T01_DruidDataSource/covfilter/agentic/20260828-1600-adapted-only-candidates/final_manual_plus_kept.exec,pipeline-output/aggregate/rq1-native-baselines/T01_DruidDataSource/cut-classfiles,Validated Java source-file aggregate: outer CUT plus nested classes compiled from the same source file.
T02_CheckpointCoordinator,apache/flink,org.apache.flink.runtime.checkpoint.CheckpointCoordinator,ES,verified,verified_source_file_aggregate,5,1,671,673,2,866,0.23094688221709006,154,154,0,263,0.0,source-file:45965086eb986bf1,pipeline-output/runs/T02_CheckpointCoordinator/covfilter/auto/20260825-2330-rq1-sourcefile-final4/baseline_manual.exec,pipeline-output/runs/T02_CheckpointCoordinator/covfilter/auto/20260825-2330-rq1-sourcefile-final4/final_manual_plus_kept.exec,pipeline-output/aggregate/rq1-native-baselines/T02_CheckpointCoordinator/cut-classfiles,Validated Java source-file aggregate: outer CUT plus nested classes compiled from the same source file.
T02_CheckpointCoordinator,apache/flink,org.apache.flink.runtime.checkpoint.CheckpointCoordinator,LLM,verified,verified_source_file_aggregate,3,1,671,673,2,866,0.23094688221709006,154,154,0,263,0.0,source-file:45965086eb986bf1,pipeline-output/runs/T02_CheckpointCoordinator/covfilter/adopted/20260828-1200-assertion-insensitive-lineage/baseline_manual.exec,pipeline-output/runs/T02_CheckpointCoordinator/covfilter/adopted/20260828-1200-assertion-insensitive-lineage/final_manual_plus_kept.exec,pipeline-output/aggregate/rq1-native-baselines/T02_CheckpointCoordinator/cut-classfiles,Validated Java source-file aggregate: outer CUT plus nested classes compiled from the same source file.
T02_CheckpointCoordinator,apache/flink,org.apache.flink.runtime.checkpoint.CheckpointCoordinator,Agentic,verified,verified_source_file_aggregate,2,2,671,684,13,866,1.5011547344110854,154,162,8,263,3.041825095057034,source-file:45965086eb986bf1,pipeline-output/runs/T02_CheckpointCoordinator/covfilter/agentic/20260828-1200-assertion-insensitive-lineage/baseline_manual.exec,pipeline-output/runs/T02_CheckpointCoordinator/covfilter/agentic/20260828-1200-assertion-insensitive-lineage/final_manual_plus_kept.exec,pipeline-output/aggregate/rq1-native-baselines/T02_CheckpointCoordinator/cut-classfiles,Validated Java source-file aggregate: outer CUT plus nested classes compiled from the same source file.
T03_TableMetadata,apache/iceberg,org.apache.iceberg.TableMetadata,ES,verified,verified_source_file_aggregate,173,55,631,787,156,843,18.505338078291814,230,312,82,410,20.0,source-file:b040bda4131fa131,pipeline-output/runs/T03_TableMetadata/covfilter/auto/20260825-2330-rq1-sourcefile-final4/baseline_manual.exec,pipeline-output/runs/T03_TableMetadata/covfilter/auto/20260825-2330-rq1-sourcefile-final4/final_manual_plus_kept.exec,pipeline-output/aggregate/rq1-native-baselines/T03_TableMetadata/cut-classfiles,Validated Java source-file aggregate: outer CUT plus nested classes compiled from the same source file.
T03_TableMetadata,apache/iceberg,org.apache.iceberg.TableMetadata,LLM,verified,verified_source_file_aggregate,40,27,631,769,138,843,16.370106761565836,230,280,50,410,12.195121951219512,source-file:b040bda4131fa131,pipeline-output/runs/T03_TableMetadata/covfilter/adopted/20260828-1600-adapted-only-candidates/baseline_manual.exec,pipeline-output/runs/T03_TableMetadata/covfilter/adopted/20260828-1600-adapted-only-candidates/final_manual_plus_kept.exec,pipeline-output/aggregate/rq1-native-baselines/T03_TableMetadata/cut-classfiles,Validated Java source-file aggregate: outer CUT plus nested classes compiled from the same source file.
T03_TableMetadata,apache/iceberg,org.apache.iceberg.TableMetadata,Agentic,verified,verified_source_file_aggregate,30,27,631,771,140,843,16.607354685646502,230,281,51,410,12.439024390243903,source-file:b040bda4131fa131,pipeline-output/runs/T03_TableMetadata/covfilter/agentic/20260828-1200-assertion-insensitive-lineage/baseline_manual.exec,pipeline-output/runs/T03_TableMetadata/covfilter/agentic/20260828-1200-assertion-insensitive-lineage/final_manual_plus_kept.exec,pipeline-output/aggregate/rq1-native-baselines/T03_TableMetadata/cut-classfiles,Validated Java source-file aggregate: outer CUT plus nested classes compiled from the same source file.
T04_SubscriptionState,apache/kafka,org.apache.kafka.clients.consumer.internals.SubscriptionState,ES,verified,verified_source_file_aggregate,175,61,403,533,130,544,23.897058823529413,162,241,79,275,28.727272727272727,source-file:804f137fbd22998c,pipeline-output/runs/T04_SubscriptionState/covfilter/auto/20260825-2330-rq1-sourcefile-final4/baseline_manual.exec,pipeline-output/runs/T04_SubscriptionState/covfilter/auto/20260825-2330-rq1-sourcefile-final4/final_manual_plus_kept.exec,pipeline-output/aggregate/rq1-native-baselines/T04_SubscriptionState/cut-classfiles,Validated Java source-file aggregate: outer CUT plus nested classes compiled from the same source file.
