target_id,repo,fqcn,measurement_status,manual_test_count,manual_line_covered,manual_line_total,manual_line_percentage,manual_branch_covered,manual_branch_total,manual_branch_percentage,full_es_test_count,full_es_line_covered,full_es_line_total,full_es_line_percentage,full_es_branch_covered,full_es_branch_total,full_es_branch_percentage,target_class_id,baseline_exec,candidate_exec_dir,target_classfile,detail
T01_DruidDataSource,alibaba/druid,com.alibaba.druid.pool.DruidDataSource,verified_archived_execs,1,20,2128,0.9398496240601504,5,1152,0.4340277777777778,71,481,2128,22.603383458646615,102,1152,8.854166666666666,source-file:a9fb2d8838099220,pipeline-output/runs/T01_DruidDataSource/covfilter/auto/20260825-2330-rq1-sourcefile-final4/baseline_manual.exec,pipeline-output/runs/T01_DruidDataSource/covfilter/auto/20260825-2330-rq1-sourcefile-final4,pipeline-output/aggregate/rq1-native-baselines/T01_DruidDataSource/cut-classfiles,Full EvoSuite coverage is the union of all archived candidate-only executions.
T02_CheckpointCoordinator,apache/flink,org.apache.flink.runtime.checkpoint.CheckpointCoordinator,verified_archived_execs,53,671,866,77.48267898383372,154,263,58.555133079847906,5,20,866,2.3094688221709005,0,263,0.0,source-file:45965086eb986bf1,pipeline-output/runs/T02_CheckpointCoordinator/covfilter/auto/20260825-2330-rq1-sourcefile-final4/baseline_manual.exec,pipeline-output/runs/T02_CheckpointCoordinator/covfilter/auto/20260825-2330-rq1-sourcefile-final4,pipeline-output/aggregate/rq1-native-baselines/T02_CheckpointCoordinator/cut-classfiles,Full EvoSuite coverage is the union of all archived candidate-only executions.
T03_TableMetadata,apache/iceberg,org.apache.iceberg.TableMetadata,verified_archived_execs,48,631,843,74.85172004744959,230,410,56.09756097560975,158,684,843,81.13879003558719,259,410,63.170731707317074,source-file:b040bda4131fa131,pipeline-output/runs/T03_TableMetadata/covfilter/auto/20260825-2330-rq1-sourcefile-final4/baseline_manual.exec,pipeline-output/runs/T03_TableMetadata/covfilter/auto/20260825-2330-rq1-sourcefile-final4,pipeline-output/aggregate/rq1-native-baselines/T03_TableMetadata/cut-classfiles,Full EvoSuite coverage is the union of all archived candidate-only executions.
T04_SubscriptionState,apache/kafka,org.apache.kafka.clients.consumer.internals.SubscriptionState,verified_archived_execs,58,403,544,74.08088235294117,162,275,58.90909090909091,174,493,544,90.625,222,275,80.72727272727273,source-file:804f137fbd22998c,pipeline-output/runs/T04_SubscriptionState/covfilter/auto/20260825-2330-rq1-sourcefile-final4/baseline_manual.exec,pipeline-output/runs/T04_SubscriptionState/covfilter/auto/20260825-2330-rq1-sourcefile-final4,pipeline-output/aggregate/rq1-native-baselines/T04_SubscriptionState/cut-classfiles,Full EvoSuite coverage is the union of all archived candidate-only executions.
T05_AsyncClientClass,aws/aws-sdk-java-v2,software.amazon.awssdk.codegen.poet.client.AsyncClientClass,verified_archived_execs,13,251,259,96.91119691119691,38,42,90.47619047619048,21,163,259,62.93436293436294,22,42,52.38095238095238,source-file:3c43a03b06e94b6c,pipeline-output/runs/T05_AsyncClientClass/covfilter/auto/20260825-2330-rq1-sourcefile-final4/baseline_manual.exec,pipeline-output/runs/T05_AsyncClientClass/covfilter/auto/20260825-2330-rq1-sourcefile-final4,pipeline-output/aggregate/rq1-native-baselines/T05_AsyncClientClass/cut-classfiles,Full EvoSuite coverage is the union of all archived candidate-only executions.
T06_SyncClientClass,aws/aws-sdk-java-v2,software.amazon.awssdk.codegen.poet.client.SyncClientClass,verified_archived_execs,11,191,201,95.02487562189054,22,27,81.48148148148148,20,128,201,63.681592039801,16,27,59.25925925925926,source-file:58aee721279e20fe,pipeline-output/runs/T06_SyncClientClass/covfilter/auto/20260825-2330-rq1-sourcefile-final4/baseline_manual.exec,pipeline-output/runs/T06_SyncClientClass/covfilter/auto/20260825-2330-rq1-sourcefile-final4,pipeline-output/aggregate/rq1-native-baselines/T06_SyncClientClass/cut-classfiles,Full EvoSuite coverage is the union of all archived candidate-only executions.
T07_ImplementationBridgeHelpers,azure/azure-sdk-for-java,com.azure.cosmos.implementation.ImplementationBridgeHelpers,verified_archived_execs,1,348,543,64.08839779005525,114,238,47.89915966386555,49,505,543,93.00184162062615,164,238,68.90756302521008,source-file:c895af7e7b37d061,pipeline-output/runs/T07_ImplementationBridgeHelpers/covfilter/auto/20260825-2330-rq1-sourcefile-final4/baseline_manual.exec,pipeline-output/runs/T07_ImplementationBridgeHelpers/covfilter/auto/20260825-2330-rq1-sourcefile-final4,pipeline-output/aggregate/rq1-native-baselines/T07_ImplementationBridgeHelpers/cut-classfiles,Full EvoSuite coverage is the union of all archived candidate-only executions.
T08_DefaultExporterResourceProvider,camunda-cloud/zeebe,io.camunda.exporter.DefaultExporterResourceProvider,verified_archived_execs,5,136,163,83.43558282208589,3,14,21.428571428571427,11,158,163,96.93251533742331,12,14,85.71428571428571,source-file:2de4ac17765ae1c1,pipeline-output/runs/T08_DefaultExporterResourceProvider/covfilter/auto/20260825-2330-rq1-sourcefile-final4/baseline_manual.exec,pipeline-output/runs/T08_DefaultExporterResourceProvider/covfilter/auto/20260825-2330-rq1-sourcefile-final4,pipeline-output/aggregate/rq1-native-baselines/T08_DefaultExporterResourceProvider/cut-classfiles,Full EvoSuite coverage is the union of all archived candidate-only executions.
T09_AdminServerUiAutoConfiguration,codecentric/spring-boot-admin,de.codecentric.boot.admin.server.ui.config.AdminServerUiAutoConfiguration,verified_archived_execs,3,93,109,85.3211009174312,7,14,50.0,18,109,109,100.0,13,14,92.85714285714286,source-file:1faae84e904cfffb,pipeline-output/runs/T09_AdminServerUiAutoConfiguration/covfilter/auto/20260825-2330-rq1-sourcefile-final4/baseline_manual.exec,pipeline-output/runs/T09_AdminServerUiAutoConfiguration/covfilter/auto/20260825-2330-rq1-sourcefile-final4,pipeline-output/aggregate/rq1-native-baselines/T09_AdminServerUiAutoConfiguration/cut-classfiles,Full EvoSuite coverage is the union of all archived candidate-only executions.
T10_UiController,codecentric/spring-boot-admin,de.codecentric.boot.admin.server.ui.web.UiController,verified_archived_execs,5,30,40,75.0,9,12,75.0,70,38,40,95.0,10,12,83.33333333333333,source-file:e05707c81fb9e25f,pipeline-output/runs/T10_UiController/covfilter/auto/20260825-2330-rq1-sourcefile-final4/baseline_manual.exec,pipeline-output/runs/T10_UiController/covfilter/auto/20260825-2330-rq1-sourcefile-final4,pipeline-output/aggregate/rq1-native-baselines/T10_UiController/cut-classfiles,Full EvoSuite coverage is the union of all archived candidate-only executions.
