token_weight,codebleu_weight,variant,n,median_closeness
0.2,0.8,ES-based,32,0.2018889613786499
0.2,0.8,LLM-based,32,0.2571831121020527
0.2,0.8,Agentic-based,32,0.42596237570548323
0.4,0.6,ES-based,32,0.19502991706774894
0.4,0.6,LLM-based,32,0.24596342363445825
0.4,0.6,Agentic-based,32,0.3788753062070144
0.6,0.4,ES-based,32,0.18512026853685898
0.6,0.4,LLM-based,32,0.23069671385676868
0.6,0.4,Agentic-based,32,0.34818623277682464
0.8,0.19999999999999996,ES-based,32,0.16180701023133487
0.8,0.19999999999999996,LLM-based,32,0.23379686853176984
0.8,0.19999999999999996,Agentic-based,32,0.3439605961486524
