level,metric,variant,rated_items,target_classes,n_scores,median,mean,score_1,score_2,score_3,pct_1,pct_2,pct_3
Class,Existing style alignment,ES-based,32,32,64,1.0,1.265625,47,17,0,0.734375,0.265625,0.0
Class,Existing style alignment,LLM-based,32,32,64,2.0,1.765625,23,33,8,0.359375,0.515625,0.125
Class,Existing style alignment,Agentic-based,32,32,64,3.0,2.640625,3,17,44,0.046875,0.265625,0.6875
Class,Structure/fixture reuse,ES-based,20,20,36,1.0,1.0555555555555556,34,2,0,0.9444444444444444,0.05555555555555555,0.0
Class,Structure/fixture reuse,LLM-based,20,20,36,1.0,1.5277777777777777,22,9,5,0.6111111111111112,0.25,0.1388888888888889
Class,Structure/fixture reuse,Agentic-based,20,20,36,3.0,2.5,3,12,21,0.08333333333333333,0.3333333333333333,0.5833333333333334
Method,Naturalness,ES-based,139,32,278,1.0,1.5107913669064748,146,122,10,0.5251798561151079,0.43884892086330934,0.03597122302158273
Method,Naturalness,LLM-based,115,32,230,2.0,1.9652173913043478,44,150,36,0.19130434782608696,0.6521739130434783,0.1565217391304348
Method,Naturalness,Agentic-based,128,32,256,3.0,2.56640625,3,105,148,0.01171875,0.41015625,0.578125
Method,Naming,ES-based,139,32,278,2.0,1.7446043165467626,116,117,45,0.4172661870503597,0.420863309352518,0.1618705035971223
Method,Naming,LLM-based,115,32,230,2.0,2.3173913043478263,15,127,88,0.06521739130434782,0.5521739130434783,0.3826086956521739
Method,Naming,Agentic-based,128,32,256,3.0,2.5390625,5,108,143,0.01953125,0.421875,0.55859375
Method,Readability,ES-based,139,32,278,2.0,1.6223021582733812,124,135,19,0.4460431654676259,0.4856115107913669,0.0683453237410072
Method,Readability,LLM-based,115,32,230,2.0,2.091304347826087,36,137,57,0.1565217391304348,0.5956521739130435,0.24782608695652175
Method,Readability,Agentic-based,128,32,256,3.0,2.66796875,2,81,173,0.0078125,0.31640625,0.67578125
